Image: "calibration-rig.pnm"

Pixel coordinates of each corner
of each white square AND THEN the 3D
coordinates:

(from top -> bottom, left -> right)

RAW VERSION:
============
456,436
455,509
454,584
454,656
453,735
452,807
452,884
452,959
517,443
516,512
514,589
514,660
514,735
513,809
512,884
514,957
576,450
577,519
574,592
574,663
574,738
573,809
572,883
573,956
633,456
633,525
633,597
632,667
631,739
631,810
630,884
630,954
689,463
689,531
689,601
687,671
687,742
687,811
687,883
686,953
742,469
742,536
741,605
740,672
741,743
740,813
741,882
740,951
793,473
793,541
793,608
793,676
793,745
793,813
793,880
793,951
846,480
847,546
846,613
843,679
844,746
843,813
844,880
843,949
1030,477
1029,543
1028,608
1029,677
1031,743
1032,811
1034,880
1034,946
1079,470
1079,537
1079,607
1079,672
1079,743
1080,811
1079,879
1079,948
1126,463
1127,532
1127,601
1128,669
1129,740
1129,810
1129,880
1129,949
1175,456
1178,525
1178,597
1179,667
1180,738
1182,808
1181,880
1183,951
1227,448
1229,520
1230,592
1232,663
1234,736
1234,807
1234,880
1234,952
1284,442
1282,512
1284,587
1287,659
1288,733
1287,806
1287,880
1288,953
1339,434
1339,507
1342,582
1343,656
1344,730
1344,805
1344,880
1346,954
1399,426
1399,501
1400,576
1401,653
1402,727
1402,804
1403,880
1403,956

18,0,0
18,0,2
18,0,4
18,0,6
18,0,8
18,0,10
18,0,12
18,0,14
16,0,0
16,0,2
16,0,4
16,0,6
16,0,8
16,0,10
16,0,12
16,0,14
14,0,0
14,0,2
14,0,4
14,0,6
14,0,8
14,0,10
14,0,12
14,0,14
12,0,0
12,0,2
12,0,4
12,0,6
12,0,8
12,0,10
12,0,12
12,0,14
10,0,0
10,0,2
10,0,4
10,0,6
10,0,8
10,0,10
10,0,12
10,0,14
8,0,0
8,0,2
8,0,4
8,0,6
8,0,8
8,0,10
8,0,12
8,0,14
6,0,0
6,0,2
6,0,4
6,0,6
6,0,8
6,0,10
6,0,12
6,0,14
4,0,0
4,0,2
4,0,4
4,0,6
4,0,8
4,0,10
4,0,12
4,0,14
0,4,0
0,4,2
0,4,4
0,4,6
0,4,8
0,4,10
0,4,12
0,4,14
0,6,0
0,6,2
0,6,4
0,6,6
0,6,8
0,6,10
0,6,12
0,6,14
0,8,0
0,8,2
0,8,4
0,8,6
0,8,8
0,8,10
0,8,12
0,8,14
0,10,0
0,10,2
0,10,4
0,10,6
0,10,8
0,10,10
0,10,12
0,10,14
0,12,0
0,12,2
0,12,4
0,12,6
0,12,8
0,12,10
0,12,12
0,12,14
0,14,0
0,14,2
0,14,4
0,14,6
0,14,8
0,14,10
0,14,12
0,14,14
0,16,0
0,16,2
0,16,4
0,16,6
0,16,8
0,16,10
0,16,12
0,16,14
0,18,0
0,18,2
0,18,4
0,18,6
0,18,8
0,18,10
0,18,12
0,18,14


JavaScript LIST VERSION:
========================
